# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.555975 0.15 0.2 0 1.02939 1.65621 -5.64772e-06 -5.08545e-06 0
0.557329 0.15 0.2 0 1.02956 1.63922 -5.69617e-06 -8.37481e-06 0
0.55868 0.15 0.2 0 1.02949 1.61201 -5.59981e-06 -8.62525e-06 0
0.56003 0.15 0.2 0 1.02862 1.59496 -5.65172e-06 -3.78972e-06 0
0.561377 0.15 0.2 0 1.02838 1.59054 -5.68997e-06 -1.43503e-05 0
0.562721 0.15 0.2 0 1.02885 1.59536 -5.58887e-06 -6.40424e-07 0
0.564063 0.15 0.2 0 1.02995 1.60566 -5.60218e-06 -1.29555e-05 0
0.565403 0.15 0.2 0 1.03048 1.61698 -5.62227e-06 -7.03214e-06 0
0.566741 0.15 0.2 0 1.03137 1.64426 -5.61161e-06 -7.75528e-06 0
0.568076 0.15 0.2 0 1.03214 1.63418 -5.61267e-06 -8.82347e-06 0
0.569409 0.15 0.2 0 1.03228 1.60998 -5.61297e-06 -9.52747e-06 0
0.570739 0.15 0.2 0 1.03129 1.59512 -5.54673e-06 -5.28335e-06 0
0.572067 0.15 0.2 0 1.03162 1.59345 -5.63295e-06 -1.40184e-05 0
0.573393 0.15 0.2 0 1.03243 1.5997 -5.62989e-06 3.40729e-06 0
0.574717 0.15 0.2 0 1.03294 1.6093 -5.59198e-06 -8.66406e-06 0
0.576038 0.15 0.2 0 1.03367 1.62195 -5.62586e-06 -1.94981e-05 0
0.577357 0.15 0.2 0 1.03599 1.64798 -5.54629e-06 5.84825e-06 0
0.578674 0.15 0.2 0 1.03521 1.62632 -5.74533e-06 -3.19128e-05 0
0.579988 0.15 0.2 0 1.03496 1.59919 -5.53547e-06 1.81232e-05 0
0.581301 0.15 0.2 0 1.0353 1.58382 -5.61165e-06 -2.61347e-05 0
0.582611 0.15 0.2 0 1.03439 1.57438 -5.68372e-06 -6.46232e-06 0
0.583918 0.15 0.2 0 1.0351 1.58125 -5.65158e-06 -8.16525e-06 0
0.585224 0.15 0.2 0 1.03607 1.59311 -5.59071e-06 -8.23325e-06 0
0.586527 0.15 0.2 0 1.03699 1.60467 -5.61762e-06 -4.21765e-06 0
0.587828 0.15 0.2 0 1.03728 1.62925 -5.59135e-06 -1.69218e-05 0
0.589127 0.15 0.2 0 1.03819 1.61979 -5.56245e-06 -2.53109e-06 0
0.590424 0.15 0.2 0 1.03876 1.59781 -5.61559e-06 -1.30161e-05 0
0.591718 0.15 0.2 0 1.03823 1.58448 -5.58023e-06 -1.36892e-06 0
0.59301 0.15 0.2 0 1.03803 1.58201 -5.66506e-06 -1.17599e-05 0
0.594301 0.15 0.2 0 1.03847 1.5882 -5.58513e-06 -1.35872e-05 0
0.595589 0.15 0.2 0 1.03938 1.5989 -5.57905e-06 -9.23937e-06 0
0.596875 0.15 0.2 0 1.04037 1.61165 -5.64922e-06 -1.0556e-05 0
0.598158 0.15 0.2 0 1.04098 1.63695 -5.56756e-06 -1.09419e-05 0
0.59944 0.15 0.2 0 1.04216 1.62184 -5.61563e-06 -3.34151e-06 0
0.600719 0.15 0.2 0 1.04191 1.58991 -5.58303e-06 -9.98954e-06 0
0.601997 0.15 0.2 0 1.04052 1.56945 -5.56245e-06 -1.10054e-05 0
0.603272 0.15 0.2 0 1.04081 1.56498 -5.60005e-06 -7.98828e-06 0
0.604545 0.15 0.2 0 1.0414 1.56934 -5.59185e-06 -1.27613e-05 0
0.605816 0.15 0.2 0 1.04219 1.57872 -5.57846e-06 -8.58416e-06 0
