# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.59301 0.25 0.2 0 0.826538 1.40143 7.85255e-07 -6.14265e-06 0
0.594301 0.25 0.2 0 0.826834 1.40946 8.92765e-07 7.56101e-07 0
0.595589 0.25 0.2 0 0.826996 1.42007 8.16502e-07 -3.03402e-06 0
0.596875 0.25 0.2 0 0.827386 1.43303 8.69599e-07 5.33029e-07 0
0.598158 0.25 0.2 0 0.827757 1.45785 8.26565e-07 5.19593e-07 0
0.59944 0.25 0.2 0 0.828496 1.4288 1.03411e-06 2.88137e-06 0
0.600719 0.25 0.2 0 0.826768 1.39482 7.15712e-07 -3.10876e-06 0
0.601997 0.25 0.2 0 0.826035 1.3819 8.4757e-07 -1.00586e-06 0
0.603272 0.25 0.2 0 0.825746 1.38089 7.90224e-07 1.86529e-06 0
0.604545 0.25 0.2 0 0.826109 1.38745 8.99538e-07 -6.02831e-07 0
0.605816 0.25 0.2 0 0.826162 1.39723 8.50255e-07 3.76899e-07 0
0.607085 0.25 0.2 0 0.826387 1.40967 7.92338e-07 -2.39383e-06 0
0.608351 0.25 0.2 0 0.826832 1.42258 1.01831e-06 1.52011e-06 0
0.609616 0.25 0.2 0 0.827115 1.44904 7.26561e-07 -4.62801e-06 0
0.610879 0.25 0.2 0 0.827641 1.42175 8.64705e-07 7.31211e-06 0
0.61214 0.25 0.2 0 0.826708 1.39152 8.50821e-07 -4.63047e-06 0
0.613398 0.25 0.2 0 0.825539 1.3785 8.33165e-07 2.01073e-06 0
0.614655 0.25 0.2 0 0.82526 1.37845 8.09611e-07 6.92212e-06 0
0.615909 0.25 0.2 0 0.825427 1.38445 8.7382e-07 -1.36832e-05 0
0.617162 0.25 0.2 0 0.825739 1.3963 8.35393e-07 7.00026e-06 0
0.618412 0.25 0.2 0 0.826073 1.40849 8.40574e-07 4.57392e-07 0
0.61966 0.25 0.2 0 0.826485 1.42203 8.34076e-07 -8.13556e-07 0
0.620907 0.25 0.2 0 0.826672 1.40931 8.33413e-07 -3.56939e-07 0
0.622151 0.25 0.2 0 0.826278 1.39499 7.91446e-07 8.88533e-07 0
0.623394 0.25 0.2 0 0.825757 1.39189 8.5198e-07 -1.8276e-06 0
0.624634 0.25 0.2 0 0.825808 1.39697 8.70184e-07 1.70901e-06 0
0.625873 0.25 0.2 0 0.825899 1.40593 8.61585e-07 -2.23954e-07 0
0.627109 0.25 0.2 0 0.826215 1.41754 8.31771e-07 -5.14225e-07 0
0.628343 0.25 0.2 0 0.826562 1.44473 8.48527e-07 -2.72293e-07 0
0.629576 0.25 0.2 0 0.826762 1.41345 8.28997e-07 1.5211e-06 0
0.630806 0.25 0.2 0 0.825743 1.37907 8.99331e-07 -2.84407e-06 0
0.632035 0.25 0.2 0 0.824013 1.36269 7.56546e-07 2.48887e-06 0
0.633261 0.25 0.2 0 0.824174 1.36208 8.90295e-07 9.66879e-08 0
0.634486 0.25 0.2 0 0.824031 1.36639 3.8678e-08 -4.8009e-06 0
0.635709 0.25 0.2 0 0.82463 1.37722 1.32044e-06 7.60002e-06 0
0.63693 0.25 0.2 0 0.824726 1.38885 8.08144e-07 -3.39221e-06 0
0.638149 0.25 0.2 0 0.824929 1.40222 8.6874e-07 7.73723e-06 0
0.639366 0.25 0.2 0 0.825762 1.43205 8.19973e-07 -1.18224e-05 0
0.640581 0.25 0.2 0 0.826057 1.40654 8.90639e-07 5.43141e-06 0
0.641794 0.25 0.2 0 0.825548 1.37886 9.46513e-07 -4.24393e-06 0
0.643006 0.25 0.2 0 0.824034 1.36584 7.74222e-07 5.18562e-06 0
0.644215 0.25 0.2 0 0.824123 1.36709 8.03145e-07 -3.37844e-07 0
0.645423 0.25 0.2 0 0.824503 1.37424 8.78514e-07 -2.74204e-06 0
0.646628 0.25 0.2 0 0.824595 1.38373 8.47818e-07 3.65627e-06 0
0.647832 0.25 0.2 0 0.824872 1.39564 9.23596e-07 -4.09088e-06 0
0.649034 0.25 0.2 0 0.824906 1.41927 7.98133e-07 5.30208e-06 0
0.650234 0.25 0.2 0 0.825688 1.39509 8.32899e-07 -6.25781e-06 0
0.651432 0.25 0.2 0 0.824754 1.36681 8.82787e-07 5.12615e-06 0
0.652629 0.25 0.2 0 0.823388 1.35467 8.05234e-07 -6.51916e-07 0
0.653823 0.25 0.2 0 0.823546 1.35606 8.3013e-07 1.80764e-06 0
0.655016 0.25 0.2 0 0.823729 1.36233 8.55599e-07 -6.50704e-06 0
0.656207 0.25 0.2 0 0.821692 1.3732 9.92671e-07 -2.31622e-05 0
0.657396 0.25 0.2 0 0.823203 1.3946 5.22959e-07 3.05406e-05 0
0.658583 0.25 0.2 0 0.824606 1.42213 9.32126e-07 2.14447e-05 0
0.659769 0.25 0.2 0 0.823869 1.39575 8.22213e-07 -2.91977e-05 0
0.660953 0.25 0.2 0 0.82037 1.36829 7.44546e-07 4.15864e-05 0
0.662135 0.25 0.2 0 0.822622 1.36827 7.69504e-07 -7.54806e-05 0
0.663315 0.25 0.2 0 0.818178 1.36491 7.328e-07 3.32735e-05 0
0.664493 0.25 0.2 0 0.822699 1.38497 7.9023e-07 3.03413e-05 0
0.66567 0.25 0.2 0 0.821897 1.39303 9.65369e-07 -2.98677e-05 0
0.666845 0.25 0.2 0 0.822855 1.40681 8.27815e-07 9.15873e-06 0
0.668018 0.25 0.2 0 0.823044 1.42076 1.03402e-06 -8.27581e-07 0
0.669189 0.25 0.2 0 0.823565 1.45135 5.88554e-07 2.59283e-06 0
0.670359 0.25 0.2 0 0.824343 1.41896 8.80832e-07 5.48052e-07 0
